x,WaferMPW41_slot11_thinresist_strip_Chip1_WG1,WaferMPW41_slot11_thinresist_strip_Chip1_WG2,WaferMPW41_slot11_thinresist_strip_Chip1_WG3,WaferMPW41_slot11_thinresist_strip_Chip1_WG4,WaferMPW41_slot11_thinresist_strip_Chip1_WG5,WaferMPW41_slot11_thinresist_strip_Chip1_WG6,WaferMPW41_slot11_thinresist_strip_Chip33_WG1,WaferMPW41_slot11_thinresist_strip_Chip33_WG2,WaferMPW41_slot11_thinresist_strip_Chip33_WG3,WaferMPW41_slot11_thinresist_strip_Chip33_WG4,WaferMPW41_slot11_thinresist_strip_Chip33_WG5,WaferMPW41_slot11_thinresist_strip_Chip33_WG6
1529.7107999999998,8.531486628e-7,,,,,,,,,,,
1529.7113000000002,,,,1.02193404e-7,,,,,,,,
1529.7115000000001,,,3.739837098e-7,,,,,,,,,1.032656982e-7
1529.7116,,,,,,,,4.830498028e-7,,,,
1529.7123000000001,,,,,1.0272921e-7,,,,,,,
1529.7124000000001,,,,,,9.27147639e-8,,,,,,
1529.7129000000002,,,,,,,,,,,1.299137438e-7,
1529.7130000000002,,,,,,,8.781788665e-7,,,,,
1529.7135,,5.742321036e-7,,,,,,,,,,
1529.7145,,,,,,,,,3.614690627e-7,,,
1529.7149,,,,,,,,,,2.14505846e-7,,
1529.7246,,,,,,1.139969399e-7,,,,,,
1529.7249000000002,,,,,,,,,,,1.234763403e-7,
1529.7251,9.121494031e-7,,,,,,,,,,,
1529.7255,,,,1.334901043e-7,,,8.763889809e-7,,,,,1.159640632e-7
1529.7256,,5.992613978e-7,,,,,,,,,,
1529.7258000000002,,,4.008028895e-7,,,,,,,,,
1529.7262,,,,,8.87801761e-8,,,4.830498028e-7,,,,
1529.7266000000002,,,,,,,,,3.68621329e-7,,,
1529.7268,,,,,,,,,,2.252362918e-7,,
1529.7343,,,,,,1.342067861e-7,,,,,,
1529.7346,,,,,,,,,,,1.445784363e-7,
1529.7348,8.495761676e-7,,,,,,,,,,,
1529.7350000000001,,,,,,,8.799687521e-7,,,,,
1529.7352,,,,,,,,,,,,8.52031334e-8
1529.7353,,,,1.104198972e-7,,,,,,,,
1529.7357,,,4.008028895e-7,,,,,,,,,
1529.7358,,6.260805776e-7,,,,,,,,,,
1529.7361,,,,,1.2043499e-7,,,4.830498028e-7,,,,
1529.7364,,,,,,,,,3.704075766e-7,2.103933383e-7,,
1529.7418,,,,,,1.122078501e-7,,,,,,
1529.7421,,,,,,,,,,,1.864279255e-7,
1529.7423000000001,8.424239013e-7,,,,,,,,,,,
1529.7426,,,,9.41452853e-8,,,,,,,,9.28929111e-8
1529.7428,,,,,,,8.763889809e-7,,,,,
1529.7430000000002,,,4.061652703e-7,,,,,,,,,
1529.7431,,6.189283113e-7,,,,,,,,,,
1529.7435,,,,,1.465465829e-7,,,4.812599173e-7,,,,
1529.7439,,,,,,,,,3.578929295e-7,1.950119639e-7,,
1529.7485000000001,,,,,,1.107773286e-7,,,,,,
1529.7486000000001,,,,,,,,,,,1.606746736e-7,
1529.7492000000002,8.638743338e-7,,,,,,,,,,,
1529.7494,,,,,,,8.835412473e-7,,,,,1.241912031e-7
1529.7496,,,,7.48304601e-8,,,,,,,,
1529.7497,,,3.990166419e-7,,,,,,,,,
1529.7498,,6.082044592e-7,,,,,,,,,,
1529.7502000000002,,,,,,,,4.97355245e-7,,,,
1529.7503000000002,,,,,1.225816249e-7,,,,,,,
1529.7504999999999,,,,,,,,,3.382260161e-7,,,
1529.7508,,,,,,,,,,1.900042861e-7,,
1529.7587,,,,,,1.461884693e-7,,,,,,
1529.7589,,,,,,,,,,,1.216864547e-7,
1529.7592,8.495761676e-7,,,,,,,,,,,
1529.7595,,,,,,,8.924824897e-7,,,,,
1529.7596,,,,,,,,,,,,9.16414464e-8
1529.7597,,,,1.029082668e-7,,,,,,,,
1529.7598,,,3.614690627e-7,,,,,,,,,
1529.7599,,5.992613978e-7,,,,,,,,,,
1529.7601,,,,,,,,4.991378546e-7,,,,
1529.7603000000001,,,,,9.37870581e-8,,,,,,,
1529.7607,,,,,,,,,3.400122637e-7,,,
1529.7609,,,,,,,,,,2.207652159e-7,,
1529.7711000000002,,,,,,8.46665316e-8,,,,,,
1529.7713,,,,,,,,,,,1.644308867e-7,
1529.7717,,,,,,,8.853311328e-7,,,,,
1529.7719000000002,8.066625696e-7,,,,,,,,,,,
1529.772,,,,1.232964877e-7,,,,,,,,1.168582102e-7
1529.7723,,,3.561066819e-7,,,,,,,,,
1529.7727,,5.742321036e-7,,,,,,,,,,
1529.7728,,,,,,,,5.134414778e-7,,,,
1529.7730000000001,,,,,1.367097155e-7,,,,,,,
1529.7730999999999,,,,,,,,,,2.556406287e-7,,
1529.7733,,,,,,,,,3.650451958e-7,,,
1529.7827,,,,,,1.157848928e-7,,,,,,
1529.7828,,,,,,,,,,,1.862496646e-7,
1529.7832,8.442065109e-7,,,,,,,,,,,
1529.7833,,,,1.266941325e-7,,,,,,,,
1529.7834,,,,,,,8.889099945e-7,,,,,
1529.7836,,,3.578929295e-7,,,,,,,,,9.95105083e-8
1529.784,,5.652908612e-7,,,,,,,,,,
1529.7841,,,,,1.408240422e-7,,,5.40261567e-7,,,,
1529.7843,,,,,,,,,,2.49739486e-7,,
1529.7845,,,,,,,,,3.9007449e-7,,,
1529.7922,,,,,,1.361731137e-7,,,,,1.234763403e-7,
1529.7928000000002,8.227569879e-7,,,,,,,,,,,
1529.7931,,,3.793497285e-7,,,,,,,,,
1529.7932,,,,,,,8.871210184e-7,,,,,
1529.7933,,,,7.64393562e-8,,,,,,,,
1529.7934000000002,,,,,,,,,,,,9.52184891e-8
1529.7937,,5.778118748e-7,,,9.28929111e-8,,,5.61718366e-7,,,,
1529.794,,,,,,,,,,2.173671163e-7,,
1529.7943,,,,,,,,,3.882882424e-7,,,
1529.803,,,,,,1.079160583e-7,,,,,,
1529.8036000000002,7.762708947e-7,,,,,,,,,,,
1529.8037,,,,,,,,,,,1.390341566e-7,
1529.8041,,,3.864983569e-7,7.41146877e-8,,,,,,,,
1529.8042,,,,,,,8.746054618e-7,,,,,1.131027929e-7
1529.8043,,5.50992695e-7,,,,,,,,,,
1529.8045,,,,,1.206134783e-7,,,5.742321036e-7,,,,
1529.8051,,,,,,,,,3.525305488e-7,,,
1529.8052,,,,,,,,,,2.037756275e-7,,
1529.815,,,,,,1.58886607e-7,,,,,,
1529.8155000000002,7.798433899e-7,,,,,,,,,,1.894692758e-7,
1529.8159,,,,,,,8.656633099e-7,,,,,
1529.816,,,,1.197201271e-7,,,,,,,,
1529.8161,,5.313257816e-7,,,,,,,,,,8.1268773e-8
1529.8162,,,3.847121093e-7,,,,,,,,,
1529.8166999999999,,,,,1.583502325e-7,,,,,,,
1529.8168,,,,,,,,5.83175165e-7,,,,
1529.8171000000002,,,,,,,,,3.25711369e-7,,,
1529.8173,,,,,,,,,,2.216599313e-7,,
1529.8253,,,,,,1.427903698e-7,,,,,,
1529.8255000000001,,,,,,,,,,,1.633576829e-7,
1529.826,7.583865909e-7,,,,,,,,,,,
1529.8261,,,,,,,8.585119531e-7,,,,,
1529.8263,,,,1.077367742e-7,,,,,,,,
1529.8265000000001,,,,,,,,,,,,8.46665316e-8
1529.8266,,5.313257816e-7,3.739837098e-7,,,,,,,,,
1529.8271,,,,,1.274108143e-7,,,,,,,
1529.8272000000002,,,,,,,,5.8138437e-7,,,,
1529.8273000000002,,,,,,,,,,2.391861642e-7,,
1529.8274000000001,,,,,,,,,3.060444556e-7,,,
1529.8332,,,,,,1.014777453e-7,,,,,,
1529.8335000000002,,,,,,,,,,,1.254426678e-7,
1529.8336000000002,8.191781262e-7,,,,,,,,,,,
1529.8342000000002,,,,1.13638599e-7,,,8.567220675e-7,,,,,
1529.8343,,,,,,,,,,,,1.009410298e-7
1529.8344,,5.152322728e-7,3.4716453e-7,,,,,,,,,
1529.8347,,,,,,,,5.903274314e-7,,,,
1529.8348,,,,,9.68273852e-8,,,,,,,
